time,labels
0.14919356,tPNf
0.2,tPNf
0.13589364,tPNf
0.16509435,tPNf
0.17873304,tPNf
0.17638037,tPNf
0.16745283,tPNf
0.13963328,tPNf
0.22608696,tPNf
0.18620689,tPNf
0.17873304,tPNf
0.2090909,tPNf
0.15127389,tPNf
0.19800332,tPNf
0.15161291,tPNf
0.20162602,tPNf
0.16745283,tPNf
0.16225547,tPNf
0.17584097,tPNf
0.1810219,tPNf
0.21217105,tPNf
0.18112245,tPNf
0.2072072,tPNf
0.19176136,tPNf
0.2090909,tPNf
0.13141684,tPNf
0.16194968,tPNf
0.19770116,tPNf
0.17142858,tPNf
0.17524116,tPNf
0.17037037,tPNf
0.18592964,tPNf
0.18902439,tPNf
0.1525926,tPNf
